index,userId,userName,userDescription,videos,,tname,fans,follows,videoNum,audioNum,articleNum,albumNum
4473,11644473,第二颗纽扣给樱酱QvQ,直播通知群543082610 不忘初心 方得始终,「王者荣耀」五杀貂蝉日常?;「王者荣耀」仙境爱丽丝妲己五杀?;「王者荣耀」圣诞恋歌貂蝉五杀?,电子竞技;电子竞技;电子竞技,电子竞技,302578,1999,101,1,4,503
3429,154113956,日向源,"共同进步！自学独立游戏开发中...
每条私信评论都会看 小号:阿源不能叫小源
商务Q:445591408（非本人）
",如何成为UP主？现在UP主能赚多少钱？—真实经历分享【日向源50万粉丝特辑】;花五个月“解锁”《铠甲勇士激斗传》的最终结局！全部铠甲！;童年未解之谜！老爹汉堡店的“结局”究竟是什么？【老爹汉堡店】,职业职场;单机游戏;单机游戏,职业职场,665236,1999,43,0,0,16
315,34772959,自宅警備員_,废话王子 不懂音乐 不会生活 你骂我我谢谢你,【河北 x 台北】两北口糊混子“镶金”说唱;警告【 二次元入侵！】Trap说唱/史诗级PV制作！要素过多！;【卦者灵风&自宅警备员】跑FREESTYLE,原创音乐;原创音乐;原创音乐,原创音乐,747,1998,6,0,0,37
1733,1848018,Ksr桑,合作微信：zyzybash 乐队及音乐创作：Jimkisara 只是个会画漫画的视频作者,【原创】今天，我给去世的外公写了首歌;画到崩溃！挑战一张纸画完100个Up主！;致创作者。,原创音乐;绘画;日常,原创音乐,1140932,1994,407,1,2,234
138,119801456,老蒋巨靠谱,一直踏入河流,【互联网简史03】凉了的P2P，为中国金融留下了些什么？（P2P赛道完结篇）;饭圈观察（下）：饭圈女孩在想些什么？男男CP为什么会流行？;认知层次是可以提升的吗？怎么做到思考有深度？,财经商业;社科·法律·心理;人文历史,财经商业,833441,1984,89,1,11,108
1492,3530725,陈抱一,一个神奇玩具开箱up主！微薄：陈抱一（邮箱：956267914@qq.com）,【开箱】这是八岁玩的？;【开箱】我竟用"马桶盖"控制了投影仪？;【开箱】我拼过最牛的积木！(下),数码;数码;手办·模玩,数码,1001051,1984,131,0,0,50
3424,44521698,云开污散,正在努力,【独立游戏混剪】谁说只有3A级大作才能燃？那些震撼心灵的独立游戏;【明日方舟手书】罗德岛今天的饭（全员向加长版）;【哪吒之魔童降世手书】哪吒敖丙洗脑舞蹈，陈塘关宝贝,GMV;短片·手书·配音;短片·手书·配音,GMV,18515,1978,16,0,0,28
1727,11139681,街头小高,全职音乐人 up 作词 作曲 商演 教学 知识咨询 联系endy7777777233 不签mcn 一群733769500,街头 含泪演唱《曾经我也想过一了百了》但那只是曾经。;成都街头《打上花火》!!!开口脆!!!;《但那只是曾经》停更1440小时做原创 没钱宣传有人听吗？,音乐现场;音乐现场;原创音乐,音乐现场,949218,1960,123,0,21,92
3209,24189693,刘嘉卓LJZ,"青年指弹演奏家，音乐人。2017WAGF指弹大赛冠军
布鲁克吉他、老齐拾音器代言人。网易云音乐：刘嘉卓LJZ
QQ:2909957587",【指弹吉他】刘嘉卓原创曲目《异邦骑士》第一章;【终极版激燃敲击！】刘嘉卓改编碟中谍主题曲《Mission Impossible》;【指弹吉他】刘嘉卓指弹原创《理想世界》,演奏;演奏;演奏,演奏,288362,1941,193,0,0,29
4273,15807032,蛋定丶,我是鲨臂,,,暂无tag,103563,1916,201,0,0,136
